Player,Year,Pk,G,PPG,APG,Start%,All-NBA,All Star,All-Defense,3P%,3PM_36,PTS_36,AST_36,REB_36,OBPM,DBPM,TS%,USG%,TOV%
RJ Barrett,2019,3.0,329.0,18.451063829787234,2.9404255319148938,0.9969604863221885,0.0,0.0,0.0,0.34580645161290324,1.762996802192782,19.965280950205575,3.1641845591594335,5.867884878940155,-0.8780264961169484,-1.2709821836455002,0.5276338967565098,25.574655093650065,10.909748743718595
De'Andre Hunter,2019,4.0,263.0,14.26273764258555,1.54106463878327,0.9011406844106464,0.0,0.0,0.0,0.36317567567567566,1.9158415841584158,16.71237623762376,1.8044554455445545,4.802970297029703,-1.829517326732673,-1.37240099009901,0.5594014851485148,19.418774752475247,9.905668316831681
Darius Garland,2019,5.0,307.0,18.427687296416934,6.687296416938111,0.9869706840390879,0.0,1.0,0.0,0.3839686098654709,2.3729792147806004,19.607390300230946,7.108545034642033,2.774826789838337,1.111220169361047,-1.4245862201693609,0.5569775789068514,25.38504618937644,15.66945727482679
Jarrett Culver,2019,6.0,144.0,6.481249999999999,1.1819444444444445,0.2986111111111111,0.0,0.0,0.0,0.27627627627627627,1.335483870967742,13.558064516129033,2.511290322580645,5.835483870967742,-3.9514112903225804,-0.5723790322580645,0.46334838709677423,19.07358870967742,11.883346774193548
Coby White,2019,7.0,348.0,14.084195402298848,3.7175287356321833,0.4367816091954023,0.0,0.0,0.0,0.36917906865098415,2.736654804270463,17.423487544483987,4.5836298932384345,4.505338078291815,-0.5087682878608145,-1.1380387504942666,0.5523639778568604,21.637633451957296,11.362850929221036
Jaxson Hayes,2019,8.0,311.0,6.786495176848875,0.6543408360128617,0.16720257234726688,0.0,0.0,0.0,0.26785714285714285,0.21911138161898966,15.418137553256239,1.4680462568472308,8.574558734023128,-0.6801379590180564,0.3302698316088456,0.6784735240413877,15.273584905660377,12.58147697301684
Rui Hachimura,2019,9.0,278.0,12.732374100719422,1.2615107913669061,0.5971223021582733,0.0,0.0,0.0,0.37077131258457374,1.319422150882825,17.06099518459069,1.7142857142857142,6.467094703049759,-0.9902889245585875,-1.2570224719101124,0.5707482611021938,19.13651685393258,7.496789727126805
Cam Reddish,2019,10.0,221.0,9.241176470588234,1.2389140271493213,0.48868778280542985,0.0,0.0,0.0,0.32432432432432434,1.7976167959145073,13.931530168337432,1.8725174957442785,4.167202572347267,-2.8589559296387366,-0.33750709286930203,0.5186952903347835,18.097427652733117,11.79981085681861
Cameron Johnson,2019,11.0,283.0,11.769611307420496,1.662190812720848,0.4381625441696113,0.0,0.0,0.0,0.39227895392278955,3.141274238227147,16.57894736842105,2.343490304709141,5.45983379501385,1.1497368421052632,0.04729916897506925,0.5950293628808863,18.067493074792242,7.103337950138504
P.J. Washington,2019,12.0,333.0,12.884384384384385,2.237837837837838,0.7927927927927928,0.0,0.0,0.0,0.35439229843561976,2.10315413608411,15.300535608014282,2.6673279111287442,6.570124975203333,-1.2329498115453281,0.00986907359650863,0.5511942074985121,18.81123784963301,11.619976195199365
